latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.95033,24.90092,329.93,0.39,0.36,2021-02-23,1108,N,VIIRS,n,2,290.66,0.99,D,0
40.61125,22.76703,327.56,0.44,0.39,2021-02-23,1108,N,VIIRS,n,2,293.03,2.01,D,0
41.13773,23.32835,327.27,0.42,0.38,2021-02-23,1109,N,VIIRS,n,2,294.57,1.42,D,0
41.114,23.35671,327.04,0.42,0.38,2021-02-23,1109,N,VIIRS,n,2,294.86,1.02,D,0
41.12334,23.34856,335.13,0.42,0.38,2021-02-23,1109,N,VIIRS,n,2,294.77,2.8,D,0
38.12849,23.52357,303.59,0.42,0.61,2021-02-23,2327,N,VIIRS,n,2,281.09,0.79,N,2
39.35329,22.98312,304.37,0.35,0.57,2021-02-24,0107,N,VIIRS,n,2,283.01,1.24,N,2
40.28482,23.44654,295.07,0.35,0.57,2021-02-24,0107,N,VIIRS,n,2,279.49,0.66,N,2
37.91744,23.0724,297.56,0.39,0.59,2021-02-24,0108,N,VIIRS,n,2,284.48,1.29,N,2
35.39627,23.74483,336.88,0.55,0.51,2021-02-24,1048,N,VIIRS,n,2,286.29,6.4,D,0
35.39435,23.74984,337.24,0.55,0.51,2021-02-24,1048,N,VIIRS,n,2,287.47,4.88,D,0
39.15249,22.83148,327.02,0.51,0.49,2021-02-24,1049,N,VIIRS,n,2,292.46,2.86,D,0
38.75085,22.63975,340.14,0.53,0.5,2021-02-24,1049,N,VIIRS,n,2,297,22.61,D,0
37.80878,22.78207,328.59,0.55,0.51,2021-02-24,1049,N,VIIRS,n,2,294.21,3.69,D,0
38.50041,23.05558,342.74,0.51,0.49,2021-02-24,1049,N,VIIRS,n,2,297.94,14.23,D,0
41.09451,25.18357,329.97,0.53,0.42,2021-02-24,1050,N,VIIRS,n,2,293.77,6,D,0
41.06059,25.21586,330.82,0.53,0.42,2021-02-24,1050,N,VIIRS,n,2,291.23,2.83,D,0
41.09073,25.18493,333.77,0.53,0.42,2021-02-24,1050,N,VIIRS,n,2,296.98,6,D,0
41.06976,25.04386,326.65,0.54,0.42,2021-02-24,1050,N,VIIRS,n,2,291.06,1.19,D,0
40.62248,22.8034,328.04,0.47,0.48,2021-02-24,1050,N,VIIRS,n,2,295.74,4.96,D,0
40.61034,22.67157,341.58,0.48,0.48,2021-02-24,1050,N,VIIRS,n,2,293.4,4.62,D,0
40.63219,22.64489,330.29,0.48,0.48,2021-02-24,1050,N,VIIRS,n,2,293.23,1.79,D,0
40.65091,22.68536,325.87,0.47,0.48,2021-02-24,1050,N,VIIRS,n,2,293.17,1.67,D,0
40.64376,22.63427,334.12,0.48,0.48,2021-02-24,1050,N,VIIRS,n,2,308.87,38.96,D,0
40.64805,22.63256,355.49,0.48,0.48,2021-02-24,1050,N,VIIRS,n,2,295.27,38.96,D,0
40.68182,22.63709,337.25,0.48,0.48,2021-02-24,1050,N,VIIRS,n,2,294.26,2.96,D,0
